TIME,Operation,Failure Description,Station,Circuit & Cell,Part_Group,Part_Category
14/02/2021 05:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 06:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 07:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 08:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 09:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 10:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 11:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 12:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 13:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 14:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 19:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 20:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 21:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 22:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
14/02/2021 23:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 00:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 01:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 02:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 03:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 04:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 05:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 05:35,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 06:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 07:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 08:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 09:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 10:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 11:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 12:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 13:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 14:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 15:03,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 16:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 17:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 18:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 19:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 20:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 21:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 22:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
15/02/2021 23:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
16/02/2021 00:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
16/02/2021 01:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
24/02/2021 17:01,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
24/02/2021 18:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
25/02/2021 11:08,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
25/02/2021 15:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 09:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 10:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 11:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 14:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 16:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 17:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 18:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 19:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 20:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 21:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 22:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
28/02/2021 23:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
01/03/2021 00:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
01/03/2021 01:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
01/03/2021 02:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
01/03/2021 03:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
01/03/2021 04:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
01/03/2021 05:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
01/03/2021 06:00,Check connector presence,Connector Not Present,28,Circuit 1 - Cell 2,Connector,Component Not Present
01/02/2021 15:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 00:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 04:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 06:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 08:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 09:32,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 12:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 13:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 16:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 20:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 21:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 22:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
02/02/2021 23:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 02:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 03:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 04:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 05:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 06:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 08:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 09:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 14:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 17:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 19:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 20:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 21:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
03/02/2021 22:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
04/02/2021 00:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
04/02/2021 01:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
04/02/2021 02:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
04/02/2021 08:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
04/02/2021 12:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
04/02/2021 16:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
04/02/2021 23:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
05/02/2021 06:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
05/02/2021 10:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
05/02/2021 13:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
05/02/2021 14:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
05/02/2021 16:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
05/02/2021 22:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
05/02/2021 23:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
06/02/2021 11:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
06/02/2021 12:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
06/02/2021 13:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
06/02/2021 15:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
06/02/2021 17:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
06/02/2021 19:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
06/02/2021 23:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
07/02/2021 03:11,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
07/02/2021 04:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
07/02/2021 05:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
07/02/2021 13:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
07/02/2021 14:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
07/02/2021 16:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
07/02/2021 19:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
07/02/2021 21:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
07/02/2021 23:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
08/02/2021 00:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
08/02/2021 01:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
08/02/2021 04:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
08/02/2021 06:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
08/02/2021 09:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
08/02/2021 10:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
08/02/2021 12:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
08/02/2021 15:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
08/02/2021 22:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
09/02/2021 00:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
09/02/2021 02:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
09/02/2021 08:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
09/02/2021 19:00,Check container empty,Container not empty,3,Circuit 2 - Cell 1,Container,
